player_id,surname,forename,player_name,player_dob,soccerbase_pos
CrawfordAli19910730,Crawford,Ali,Ali Crawford,1991-07-30,Midfielder
CresswellAaron19891215,Cresswell,Aaron,Aaron Cresswell,1989-12-15,Defender
CroughanTom19990919,Croughan,Tom,Tom Croughan,1999-09-19,Midfielder
CurranCraig19890823,Curran,Craig,Craig Curran,1989-08-23,Forward
CurtisTom19730301,Curtis,Tom,Tom Curtis,1973-03-01,Midfielder
DacresCogleyJosh19960312,Dacres-Cogley,Josh,Josh Dacres-Cogley,1996-03-12,Defender
DadiEugene19730820,Dadi,Eugene,Eugene Dadi,1973-08-20,Forward
DagnallChris19860415,Dagnall,Chris,Chris Dagnall,1986-04-15,Forward
DanielsDonervon19931124,Daniels,Donervon,Donervon Daniels,1993-11-24,Defender
DanielsLuke19880105,Daniels,Luke,Luke Daniels,1988-01-05,Goalkeeper
DannsNeil19821123,Danns,Neil,Neil Danns,1982-11-23,Midfielder
DarvilleLiam19901026,Darville,Liam,Liam Darville,1990-10-26,Defender
DaviesBen19950811,Davies,Ben,Ben Davies,1995-08-11,Defender
DaviesLiam19960702,Davies,Liam,Liam Davies,1996-07-02,Midfielder
DaviesMikey20040923,Davies,Mikey,Mikey Davies,2004-09-23,Defender
DaviesScott19870223,Davies,Scott,Scott Davies,1987-02-23,Goalkeeper
DaviesSteve19871229,Davies,Steve,Steve Davies,1987-12-29,Forward
DaviesTom19920418,Davies,Tom,Tom Davies,1992-04-18,Defender
DavisonJosh19990916,Davison,Josh,Josh Davison,1999-09-16,Forward
DawsonAdam19921005,Dawson,Adam,Adam Dawson,1992-10-05,Midfielder
DennisKristian19900312,Dennis,Kristian,Kristian Dennis,1990-03-12,Forward
DevaneyMartin19800601,Devaney,Martin,Martin Devaney,1980-06-01,Midfielder
DevineJames19990726,Devine,James,James Devine,1999-07-26,Midfielder
DieseruvweEmmanuel19950220,Dieseruvwe,Emmanuel,Emmanuel Dieseruvwe,1995-02-20,Forward
DonacienJanoi19931103,Donacien,Janoi,Janoi Donacien,1993-11-03,Defender
DonaldsonRyan19910501,Donaldson,Ryan,Ryan Donaldson,1991-05-01,Midfielder
DonnellyGeorge19880528,Donnelly,George,George Donnelly,1988-05-28,Forward
DonnellyRory19920218,Donnelly,Rory,Rory Donnelly,1992-02-18,Forward
DoohanRoss19980329,Doohan,Ross,Ross Doohan,1998-03-29,Goalkeeper
DrysdaleDeclan19991114,Drysdale,Declan,Declan Drysdale,1999-11-14,Defender
DuffyMark19851007,Duffy,Mark,Mark Duffy,1985-10-07,Midfielder
DugdaleAdam19870912,Dugdale,Adam,Adam Dugdale,1987-09-12,Defender
DugganMitch19970320,Duggan,Mitch,Mitch Duggan,1997-03-20,Defender
DunnJack19941119,Dunn,Jack,Jack Dunn,1994-11-19,Midfielder
EcclestonNathan19901230,Eccleston,Nathan,Nathan Eccleston,1990-12-30,Forward
EddsGareth19810203,Edds,Gareth,Gareth Edds,1981-02-03,Midfielder
EdwardsChristian19751123,Edwards,Christian,Christian Edwards,1975-11-23,Defender
EdwardsRyan19931007,Edwards,Ryan,Ryan Edwards,1993-10-07,Midfielder
EganReuben20050727,Egan,Reuben,Reuben Egan,2005-07-27,Goalkeeper
ElfordAlliyuLateef19920601,Elford-Alliyu,Lateef,Lateef Elford-Alliyu,1992-06-01,Forward
EllisMark19880930,Ellis,Mark,Mark Ellis,1988-09-30,Defender
EllisonKevin19790223,Ellison,Kevin,Kevin Ellison,1979-02-23,Midfielder
FaceyDelroy19800422,Facey,Delroy,Delroy Facey,1980-04-22,Forward
FanimoMatthias19940128,Fanimo,Matthias,Matthias Fanimo,1994-01-28,Forward
FeeneyLiam19870121,Feeney,Liam,Liam Feeney,1987-01-21,Midfielder
FeeneyMorgan19990208,Feeney,Morgan,Morgan Feeney,1999-02-08,Defender
FenelonShamir19940803,Fenelon,Shamir,Shamir Fenelon,1994-08-03,Forward
FenwickScott19900409,Fenwick,Scott,Scott Fenwick,1990-04-09,Forward
FerrierMorgan19941115,Ferrier,Morgan,Morgan Ferrier,1994-11-15,Forward
FeuerIan19710520,Feuer,Ian,Ian Feuer,1971-05-20,Goalkeeper
FinleySam19920804,Finley,Sam,Sam Finley,1992-08-04,Midfielder
FisherMax20031003,Fisher,Max,Max Fisher,2003-10-03,Midfielder
FlemingJack19990110,Fleming,Jack,Jack Fleming,1999-01-10,Midfielder
FlynnSean19680313,Flynn,Sean,Sean Flynn,1968-03-13,Midfielder
FoleySam19861017,Foley,Sam,Sam Foley,1986-10-17,Defender
FonWilliamsOwain19870317,Fon Williams,Owain,Owain Fon Williams,1987-03-17,Goalkeeper
FosterStephen19800918,Foster,Stephen,Stephen Foster,1980-09-18,Defender
FrailStephen19690810,Frail,Stephen,Stephen Frail,1969-08-10,Defender
FrancisSimon19850216,Francis,Simon,Simon Francis,1985-02-16,Defender
FraughanRyan19910211,Fraughan,Ryan,Ryan Fraughan,1991-02-11,Midfielder
GardnerDan19900405,Gardner,Dan,Dan Gardner,1990-04-05,Midfielder
GarrettJake20030310,Garrett,Jake,Jake Garrett,2003-03-10,Midfielder
GeorgeShamal19980106,George,Shamal,Shamal George,1998-01-06,Goalkeeper
GibsonBen19930115,Gibson,Ben,Ben Gibson,1993-01-15,Defender
GibsonNeil19791010,Gibson,Neil,Neil Gibson,1979-10-10,Midfielder
GillMatt19801108,Gill,Matt,Matt Gill,1980-11-08,Midfielder
GillWayne19751128,Gill,Wayne,Wayne Gill,1975-11-28,Midfielder
GilmourHarvey19981215,Gilmour,Harvey,Harvey Gilmour,1998-12-15,Midfielder
GinnellyJosh19970324,Ginnelly,Josh,Josh Ginnelly,1997-03-24,Forward
GlatzelPaul20010220,Glatzel,Paul,Paul Glatzel,2001-02-20,Forward
GnanduilletArmand19920213,Gnanduillet,Armand,Armand Gnanduillet,1992-02-13,Forward
GolobartRoman19920321,Golobart,Roman,Roman Golobart,1992-03-21,Defender
GoodisonIan19721121,Goodison,Ian,Ian Goodison,1972-11-21,Defender
GordonBen19910302,Gordon,Ben,Ben Gordon,1991-03-02,Defender
GornellTerry19891216,Gornell,Terry,Terry Gornell,1989-12-16,Forward
GouldbourneEthan20001010,Gouldbourne,Ethan,Ethan Gouldbourne,2000-10-10,Midfielder
GrandisonJermaine19901205,Grandison,Jermaine,Jermaine Grandison,1990-12-05,Defender
GrantTony19741114,Grant,Tony,Tony Grant,1974-11-14,Midfielder
GrayKevin19720107,Gray,Kevin,Kevin Gray,1972-01-07,Defender
GreenDevarn19960826,Green,Devarn,Devarn Green,1996-08-26,Forward
GreenGeorge19960102,Green,George,George Green,1996-01-02,Midfielder
GreenacreChris19771223,Greenacre,Chris,Chris Greenacre,1977-12-23,Forward
GulacsiPeter19900506,Gulacsi,Peter,Peter Gulacsi,1990-05-06,Goalkeeper
GumbsEvan19970721,Gumbs,Evan,Evan Gumbs,1997-07-21,Defender
GunningGavin19910126,Gunning,Gavin,Gavin Gunning,1991-01-26,Defender
HallPaul19720703,Hall,Paul,Paul Hall,1972-07-03,Midfielder
HamiltonDes19760815,Hamilton,Des,Des Hamilton,1976-08-15,Midfielder
HarrisJay19870415,Harris,Jay,Jay Harris,1987-04-15,Midfielder
HarrisonDanny19821104,Harrison,Danny,Danny Harrison,1982-11-04,Midfielder
HartJoe19870419,Hart,Joe,Joe Hart,1987-04-19,Goalkeeper
HateleyTom19890912,Hateley,Tom,Tom Hateley,1989-09-12,Midfielder
HawkesJosh19990128,Hawkes,Josh,Josh Hawkes,1999-01-28,Midfielder
HaworthSimon19770330,Haworth,Simon,Simon Haworth,1977-03-30,Forward
HayAlex19811014,Hay,Alex,Alex Hay,1981-10-14,Forward
HaydeKyle20010925,Hayde,Kyle,Kyle Hayde,2001-09-25,Defender
HazellReuben19790424,Hazell,Reuben,Reuben Hazell,1979-04-24,Defender
HemmingsKane19910408,Hemmings,Kane,Kane Hemmings,1991-04-08,Forward
HendryRegan19980121,Hendry,Regan,Regan Hendry,1998-01-21,Midfielder
HenryNick19690221,Henry,Nick,Nick Henry,1969-02-21,Midfielder
HenryPaul19880128,Henry,Paul,Paul Henry,1988-01-28,Midfielder
HepburnMurphyRushian19980828,Hepburn-Murphy,Rushian,Rushian Hepburn-Murphy,1998-08-28,Forward
HeweltMateusz19960923,Hewelt,Mateusz,Mateusz Hewelt,1996-09-23,Goalkeeper
HigdonMichael19830902,Higdon,Michael,Michael Higdon,1983-09-02,Forward
HigginsDave19610819,Higgins,Dave,Dave Higgins,1961-08-19,Defender
HillClint19781019,Hill,Clint,Clint Hill,1978-10-19,Defender
HillMatt19810326,Hill,Matt,Matt Hill,1981-03-26,Defender
HinchliffeBen19881009,Hinchliffe,Ben,Ben Hinchliffe,1988-10-09,Goalkeeper
HindsRichard19800822,Hinds,Richard,Richard Hinds,1980-08-22,Defender
HockenhullBen20010903,Hockenhull,Ben,Ben Hockenhull,2001-09-03,Defender
HoganLiam19890208,Hogan,Liam,Liam Hogan,1989-02-08,Defender
HolmesDanny19890106,Holmes,Danny,Danny Holmes,1989-01-06,Defender
HolnessMarcus19881208,Holness,Marcus,Marcus Holness,1988-12-08,Defender
HorwoodEvan19860310,Horwood,Evan,Evan Horwood,1986-03-10,Defender
HotiFlorent20001211,Hoti,Florent,Florent Hoti,2000-12-11,Midfielder
HowarthRussell19820327,Howarth,Russell,Russell Howarth,1982-03-27,Goalkeeper
HughesJeff19850529,Hughes,Jeff,Jeff Hughes,1985-05-29,Midfielder
HughesRhys20010921,Hughes,Rhys,Rhys Hughes,2001-09-21,Forward
HugillJordan19920604,Hugill,Jordan,Jordan Hugill,1992-06-04,Forward
HumeIain19831030,Hume,Iain,Iain Hume,1983-10-30,Forward
IhiekweMichael19921120,Ihiekwe,Michael,Michael Ihiekwe,1992-11-20,Defender
IlesanmiSam19980713,Ilesanmi,Sam,Sam Ilesanmi,1998-07-13,Forward
IronsKenny19701104,Irons,Kenny,Kenny Irons,1970-11-04,Midfielder
JacksonMarlon19901206,Jackson,Marlon,Marlon Jackson,1990-12-06,Forward
JacksonMike19731204,Jackson,Mike,Mike Jackson,1973-12-04,Defender
JagoBen19960904,Jago,Ben,Ben Jago,1996-09-04,Midfielder
JahraldoMartinCalaum19930427,Jahraldo-Martin,Calaum,Calaum Jahraldo-Martin,1993-04-27,Forward
JamesOliver19870113,James,Oliver,Oliver James,1987-01-13,Midfielder
JamesonKyle19980911,Jameson,Kyle,Kyle Jameson,1998-09-11,Defender
JenningsConnor19911029,Jennings,Connor,Connor Jennings,1991-10-29,Forward
JenningsDale19921221,Jennings,Dale,Dale Jennings,1992-12-21,Midfielder
JenningsSteven19841028,Jennings,Steven,Steven Jennings,1984-10-28,Midfielder
JervisJake19910917,Jervis,Jake,Jake Jervis,1991-09-17,Forward
JobsonRichard19630509,Jobson,Richard,Richard Jobson,1963-05-09,Defender
JohnsonDanny19930228,Johnson,Danny,Danny Johnson,1993-02-28,Forward
JohnsonJohn19880916,Johnson,John,John Johnson,1988-09-16,Defender
JohnstonMichael19871216,Johnston,Michael,Michael Johnston,1987-12-16,Defender
JolleyCharlie20010113,Jolley,Charlie,Charlie Jolley,2001-01-13,Midfielder
JonesAndrai19920101,Jones,Andrai,Andrai Jones,1992-01-01,Defender
JonesBen20001129,Jones,Ben,Ben Jones,2000-11-29,Goalkeeper
JonesEthan19980404,Jones,Ethan,Ethan Jones,1998-04-04,Forward
JonesEthan20041016,Jones,Ethan,Ethan Jones,2004-10-16,Defender
JonesGary19750510,Jones,Gary,Gary Jones,1975-05-10,Midfielder
JonesLee19730529,Jones,Lee,Lee Jones,1973-05-29,Forward
JonesMike19870815,Jones,Mike,Mike Jones,1987-08-15,Midfielder
KaneOusmane20010723,Kané,Ousmane,Ousmane Kané,2001-07-23,Midfielder
KayAntony19821021,Kay,Antony,Antony Kay,1982-10-21,Defender
KayJosh19970130,Kay,Josh,Josh Kay,1997-01-30,Midfielder
KayMichael19890912,Kay,Michael,Michael Kay,1989-09-12,Defender
KellyDavid19651125,Kelly,David,David Kelly,1965-11-25,Forward
KennaJeff19700827,Kenna,Jeff,Jeff Kenna,1970-08-27,Defender
KennedyMatthew19941101,Kennedy,Matthew,Matthew Kennedy,1994-11-01,Forward
KhanOtis19950905,Khan,Otis,Otis Khan,1995-09-05,Midfielder
KhanSaidou19951205,Khan,Saidou,Saidou Khan,1995-12-05,Midfielder
KirbyJake19940509,Kirby,Jake,Jake Kirby,1994-05-09,Midfielder
KirbyNya20000131,Kirby,Nya,Nya Kirby,2000-01-31,Midfielder
KnightPercivalNat19870331,Knight-Percival,Nat,Nat Knight-Percival,1987-03-31,Defender
KoumasJason19790925,Koumas,Jason,Jason Koumas,1979-09-25,Midfielder
KubickiDariusz19630606,Kubicki,Dariusz,Dariusz Kubicki,1963-06-06,Defender
LabadieJoss19900830,Labadie,Joss,Joss Labadie,1990-08-30,Midfielder
LairdMarc19860123,Laird,Marc,Marc Laird,1986-01-23,Midfielder
LeakeJake20030220,Leake,Jake,Jake Leake,2003-02-20,Defender
LewisPaul19941217,Lewis,Paul,Paul Lewis,1994-12-17,Midfielder
LinwoodPaul19831024,Linwood,Paul,Paul Linwood,1983-10-24,Defender
LloydDanny19911203,Lloyd,Danny,Danny Lloyd,1991-12-03,Forward
LoganShaleum19880129,Logan,Shaleum,Shaleum Logan,1988-01-29,Defender
LomaxArthur20040517,Lomax,Arthur,Arthur Lomax,2004-05-17,Midfielder
LoranTyrone19810629,Loran,Tyrone,Tyrone Loran,1981-06-29,Defender
LoweRyan19780918,Lowe,Ryan,Ryan Lowe,1978-09-18,Forward
LucyCallum19981109,Lucy,Callum,Callum Lucy,1998-11-09,Midfielder
MacDonaldCalum19971218,MacDonald,Calum,Calum MacDonald,1997-12-18,Midfielder
MacauleyJosh19910302,Macauley,Josh,Josh Macauley,1991-03-02,Forward
MackrethJack19920413,Mackreth,Jack,Jack Mackreth,1992-04-13,Forward
MaddoxJacob19981103,Maddox,Jacob,Jacob Maddox,1998-11-03,Forward
MadjoGuy19840601,Madjo,Guy,Guy Madjo,1984-06-01,Forward
MaguireJoe19960118,Maguire,Joe,Joe Maguire,1996-01-18,Defender
MaherBen19950928,Maher,Ben,Ben Maher,1995-09-28,Midfielder
MahonAlan19780404,Mahon,Alan,Alan Mahon,1978-04-04,Midfielder
ManganAndy19860830,Mangan,Andy,Andy Mangan,1986-08-30,Forward
MantomSam19920220,Mantom,Sam,Sam Mantom,1992-02-20,Midfielder
MargettsJohnny19930928,Margetts,Johnny,Johnny Margetts,1993-09-28,Forward
MartinDavid19860122,Martin,David,David Martin,1986-01-22,Goalkeeper
MatherSam20040903,Mather,Sam,Sam Mather,2004-09-03,Midfielder
MatiasPedroMiguel19731011,Matias,Pedro Miguel,Pedro Miguel Matias,1973-10-11,Midfielder
MaynardLois19890122,Maynard,Lois,Lois Maynard,1989-01-22,Defender
MaynardNicky19861211,Maynard,Nicky,Nicky Maynard,1986-12-11,Forward
MayorDanny19901018,Mayor,Danny,Danny Mayor,1990-10-18,Midfielder
McAlearReece20020212,McAlear,Reece,Reece McAlear,2002-02-12,Midfielder
McAteerJason19710618,McAteer,Jason,Jason McAteer,1971-06-18,Midfielder
McChrystalMark19840626,McChrystal,Mark,Mark McChrystal,1984-06-26,Defender
McCreadyChris19810905,McCready,Chris,Chris McCready,1981-09-05,Defender
McCulloughLuke19940215,McCullough,Luke,Luke McCullough,1994-02-15,Defender
McDonaghGerry19980214,McDonagh,Gerry,Gerry McDonagh,1998-02-14,Forward
McDonaldClayton19881206,McDonald,Clayton,Clayton McDonald,1988-12-06,Defender
McEveleyJames19850211,McEveley,James,James McEveley,1985-02-11,Defender
McGaheyHarrison19950926,McGahey,Harrison,Harrison McGahey,1995-09-26,Defender
McGeeLuke19950902,McGee,Luke,Luke McGee,1995-09-02,Goalkeeper
McGibbonPat19730906,McGibbon,Pat,Pat McGibbon,1973-09-06,Defender
McGintySean19930811,McGinty,Sean,Sean McGinty,1993-08-11,Defender
McGrealJohn19720602,McGreal,John,John McGreal,1972-06-02,Defender
McGuireJamie19831113,McGuire,Jamie,Jamie McGuire,1983-11-13,Midfielder
McGurkAdam19890124,McGurk,Adam,Adam McGurk,1989-01-24,Forward
McIntyreKevin19771223,McIntyre,Kevin,Kevin McIntyre,1977-12-23,Defender
McLarenPaul19761117,McLaren,Paul,Paul McLaren,1976-11-17,Midfielder
McManamanCallum19910425,McManaman,Callum,Callum McManaman,1991-04-25,Midfielder
McNultyJim19850213,McNulty,Jim,Jim McNulty,1985-02-13,Defender
McNultySteve19830926,McNulty,Steve,Steve McNulty,1983-09-26,Defender
McPakeJosh20010831,McPake,Josh,Josh McPake,2001-08-31,Midfielder
McWeeneyShane19891014,McWeeney,Shane,Shane McWeeney,1989-10-14,Goalkeeper
MekkiAdam19911224,Mekki,Adam,Adam Mekki,1991-12-24,Midfielder
MellonMicky19720318,Mellon,Micky,Micky Mellon,1972-03-18,Midfielder
MendyArnaud19900210,Mendy,Arnaud,Arnaud Mendy,1990-02-10,Midfielder
MerrieChris19981102,Merrie,Chris,Chris Merrie,1998-11-02,Midfielder
MillerIshmael19870305,Miller,Ishmael,Ishmael Miller,1987-03-05,Forward
MiottoSimon19690905,Miotto,Simon,Simon Miotto,1969-09-05,Goalkeeper
MolyneuxLee19890224,Molyneux,Lee,Lee Molyneux,1989-02-24,Midfielder
MontheEmmanuel19950126,Monthe,Emmanuel,Emmanuel Monthe,1995-01-26,Defender
MooneyJason19890226,Mooney,Jason,Jason Mooney,1989-02-26,Goalkeeper
MorganAlan19731102,Morgan,Alan,Alan Morgan,1973-11-02,Defender
MorrisCallum19920901,Morris,Callum,Callum Morris,1992-09-01,Midfielder
MorrisKieron19940603,Morris,Kieron,Kieron Morris,1994-06-03,Midfielder
MorrisseyJohnny19650308,Morrissey,Johnny,Johnny Morrissey,1965-03-08,Forward
MorrowSam19850303,Morrow,Sam,Sam Morrow,1985-03-03,Forward
MottleyHenryDylan19970802,Mottley-Henry,Dylan,Dylan Mottley-Henry,1997-08-02,Forward
MullinJohn19750811,Mullin,John,John Mullin,1975-08-11,Midfielder
MullinPaul19941106,Mullin,Paul,Paul Mullin,1994-11-06,Forward
MumbongoJoel19990109,Mumbongo,Joel,Joel Mumbongo,1999-01-09,Forward
MungallSteve19580522,Mungall,Steve,Steve Mungall,1958-05-22,Defender
MurphyJoe19810821,Murphy,Joe,Joe Murphy,1981-08-21,Goalkeeper
MurrayMatt19810502,Murray,Matt,Matt Murray,1981-05-02,Goalkeeper
MusuambaHarrison20020520,Musuamba,Harrison,Harrison Musuamba,2002-05-20,Defender
MyhreThomas19731016,Myhre,Thomas,Thomas Myhre,1973-10-16,Goalkeeper
MyrieWilliamsJennison19880517,Myrie-Williams,Jennison,Jennison Myrie-Williams,1988-05-17,Midfielder
NDiayeSeyni19730601,N'Diaye,Seyni,Seyni N'Diaye,1973-06-01,Forward
NavarroAlan19810531,Navarro,Alan,Alan Navarro,1981-05-31,Midfielder
NelsonSid19960101,Nelson,Sid,Sid Nelson,1996-01-01,Defender
NevinPat19630906,Nevin,Pat,Pat Nevin,1963-09-06,Forward
NevittElliott19961030,Nevitt,Elliott,Elliott Nevitt,1996-10-30,Forward
NicholsonShane19700603,Nicholson,Shane,Shane Nicholson,1970-06-03,Defender
NielsenGunnar19861007,Nielsen,Gunnar,Gunnar Nielsen,1986-10-07,Goalkeeper
NixonEric19621004,Nixon,Eric,Eric Nixon,1962-10-04,Goalkeeper
NolanJon19920422,Nolan,Jon,Jon Nolan,1992-04-22,Midfielder
NorburnOliver19921026,Norburn,Oliver,Oliver Norburn,1992-10-26,Midfielder
NormanCameron19951012,Norman,Cameron,Cameron Norman,1995-10-12,Midfielder
NorrisJames20030404,Norris,James,James Norris,2003-04-04,Defender
NorrisLuke19930603,Norris,Luke,Luke Norris,1993-06-03,Forward
NorwoodJames19900905,Norwood,James,James Norwood,1990-09-05,Midfielder
NugentDavid19850502,Nugent,David,David Nugent,1985-05-02,Forward
NugentGeorge20011204,Nugent,George,George Nugent,2001-12-04,Midfielder
OBrienLiam19640905,O'Brien,Liam,Liam O'Brien,1964-09-05,Midfielder
OCallaghanGeorge19790905,O'Callaghan,George,George O'Callaghan,1979-09-05,Midfielder
OConnorLee20000728,O'Connor,Lee,Lee O'Connor,2000-07-28,Defender
OHalloranMichael19910106,O'Halloran,Michael,Michael O'Halloran,1991-01-06,Forward
OLearyStephen19870202,O'Leary,Stephen,Stephen O'Leary,1987-02-02,Midfielder
ONeillLuke19910820,O'Neill,Luke,Luke O'Neill,1991-08-20,Defender
OdejayiKayode19820221,Odejayi,Kayode,Kayode Odejayi,1982-02-21,Forward
OlsenJames19811023,Olsen,James,James Olsen,1981-10-23,Defender
OmotolaTolani19980416,Omotola,Tolani,Tolani Omotola,1998-04-16,Forward
OnuoraIffy19670728,Onuora,Iffy,Iffy Onuora,1967-07-28,Forward
OsbornSimon19720119,Osborn,Simon,Simon Osborn,1972-01-19,Midfielder
